ds,y
11/2/2019,37
11/3/2019,36
11/4/2019,53
11/5/2019,47
11/6/2019,38
11/7/2019,40
11/8/2019,26
11/9/2019,22
11/10/2019,36
11/11/2019,52
11/12/2019,56
11/13/2019,40
11/14/2019,31
11/15/2019,34
11/16/2019,29
11/17/2019,34
11/18/2019,33
11/19/2019,22
11/20/2019,24
11/21/2019,34
11/22/2019,33
11/23/2019,22
11/24/2019,39
11/25/2019,31
11/26/2019,22
11/27/2019,28
11/28/2019,23
11/29/2019,35
11/30/2019,33
12/1/2019,32
12/2/2019,27
12/3/2019,20
12/4/2019,21
12/5/2019,25
12/6/2019,28
12/7/2019,33
12/8/2019,53
12/9/2019,44
12/10/2019,44
12/11/2019,22
12/12/2019,50
12/13/2019,52
12/14/2019,33
12/15/2019,55
12/16/2019,61
12/17/2019,71
12/18/2019,52
12/19/2019,47
12/20/2019,57
12/21/2019,37
12/22/2019,65
12/23/2019,47
12/24/2019,59
12/25/2019,66
12/26/2019,72
12/27/2019,68
12/28/2019,63
12/29/2019,58
12/30/2019,70
12/31/2019,48
